id,Movie,Phase,Chronological_order,Release_date,Takes_place,Runtime_min,Cumulative_runtime
0,Captain America: The First Avenger,1,01,22/07/2011,During WWII,124,124
1,Captain Marvel,3,02,08/03/2019,1995,124,248
2,Iron Man,1,03,02/05/2008,2010,126,374
3,Iron Man 2,1,04,07/05/2010,2011,125,499
4,Thor,1,05,06/05/2011,2011,114,613
5,The Incredible Hulk,1,06,13/06/2008,Pre-Avengers,112,725
6,The Avengers,1,07,04/05/2012,2012,143,868
7,Iron Man 3,2,08,03/05/2013,6 months after The Avengers,131,999
8,Thor: The Dark World,2,09,"08/11/2013 	",2013,112,1111
9,Captain America: The Winter Soldier,2,10,04/04/2014,2014,136,1247
10,Guardians of the Galaxy,2,11,01/08/2014,2014,122,1369
11,Avengers: Age of Ultron,2,12,01/05/2015,2015,141,1510
12,Ant-Man,2,13,17/07/2015,2015,117,1627
13,Captain America: Civil War,3,14,06/05/2016,2016,147,1774
14,Black Panther,3,15,16/02/2018,2017,134,1908
15,Spider-Man: Homecoming,3,16,07/07/017,Pre-Infinity War,133,2041
16,Guardians of the Galaxy Vol. 2,3,17,05/05/2017,2014,137,2178
17,Doctor Strange,3,18,04/11/2016,2016-2017,115,2293
18,Thor: Ragnarok,3,19,03/11/2017,Pre-Infinity War,130,2423
19,Avengers: Infinity War,3,20,27/04/2018,2017,149,2572
20,Ant-Man and the Wasp,3,21,06/07/2018,Time unspecified,118,2690
21,Avengers: Endgame,3,22,26/04/2019,2017-2022,181,2871
22,Spider-Man: Far From Home,3,23,02/07/2019,Post-Endgame,129,3000
,,,,,,,
